C0000005	(131)i-maa	(131)i-macroaggregated albumin
C0000189	2,5 oligoadenylate polymerase	polymerase, 2',5'-oligoadenylate
C0000189	oligoadenylate polymerase, 2,5	2',5'-oligoadenylate synthetase
C0000189	synthetase, 2',5'-oligoadenylate	synthetase 02 05a
C0000189	2,5 oligoadenylate synthetase	2-5a synthetase
C0000189	2,5 oligoadenylate polymerase	synthetase, 2',5'-oligoadenylate
C0000189	2-5a synthetase	synthetase 02 05a
C0000189	2,5 oligoadenylate polymerase	2',5' oligoadenylate synthetase
C0000190	2' cmp	2'-cmp
C0000194	dipyridyl, 2,2'	2,2-bipyridine
C0000194	2,2 dipyridyl	2,2' bipyridine
C0000194	dipyridyl, 2,2'	dipyridyl 02 02
C0000194	2,2 bipyridyl	2,2-bipyridyl
C0000194	2,2'-bipyridine	alpha,alpha-dipyridyl
C0000194	dipyridyl, 2,2'	2,2-dipyridyl
C0000194	2,2' dipyridyl	dipyridyl 02 02
C0000194	2,2' bipyridine	2,2'-dipyridyl
C0000194	2,2 dipyridyl	2,2' dipyridyl
C0000194	alpha,alpha-dipyridyl	2,2-bipyridyl
C0000194	2,2-dipyridyl	2,2' bipyridine
C0000194	dipyridyl, 2,2'	2,2 dipyridyl
C0000194	dipyridyl, 2,2'	dipyridyl
C0000194	dipyridyl	dipyridyl, 2,2
C0000194	2,2'-bipyridine	alpha,alpha dipyridyl
C0000194	dipyridyl, 2,2'	alpha,alpha dipyridyl
C0000194	bipyridine 02 02	dipyridyl, 2,2
C0000194	dipyridyl, 2,2'	bipyridine 02 02
C0000194	bipyridine 02 02	2,2' bipyridine
C0000194	2,2 dipyridyl	bipyridine 02 02
C0000194	2,2' bipyridine	dipyridyl 02 02
C0000194	dipyridyl	2,2-bipyridine
C0000194	dipyridyl, 2,2'	2,2-bipyridyl
C0000194	2,2 bipyridine	dipyridyl 02 02
C0000194	2,2' bipyridine	2,2-bipyridine
C0000194	alpha,alpha-dipyridyl	dipyridyl 02 02
C0000194	alpha,alpha dipyridyl	dipyridyl, 2,2
C0000194	dipyridyl, 2,2'	alpha,alpha-dipyridyl
C0000194	2,2'-bipyridine	dipyridyl
C0000194	2,2'-bipyridine	2,2' dipyridyl
C0000194	2,2'-bipyridine	2,2' bipyridine
C0000194	2,2'-bipyridine	2,2-dipyridyl
C0000194	dipyridyl 02 02	2,2-bipyridyl
C0000194	2,2'-bipyridine	dipyridyl 02 02
C0000194	2,2 dipyridyl	2,2 bipyridine
C0000194	2,2-dipyridyl	2,2-bipyridyl
C0000194	bipyridine 02 02	2,2-bipyridine
C0000194	2,2' dipyridyl	2,2-bipyridine
C0000194	dipyridyl	2,2' bipyridine
C0000194	bipyridine 02 02	alpha,alpha-dipyridyl
C0000194	2,2'-bipyridine	2,2 bipyridine
C0000194	2,2' dipyridyl	2,2'-dipyridyl
C0000194	dipyridyl	2,2-dipyridyl
C0000194	alpha,alpha dipyridyl	2,2 bipyridine
C0000194	2,2 bipyridine	2,2 bipyridyl
C0000194	2,2-dipyridyl	bipyridine 02 02
C0000194	2,2 dipyridyl	dipyridyl
C0000194	2,2-dipyridyl	dipyridyl, 2,2
C0000194	alpha,alpha-dipyridyl	dipyridyl, 2,2
C0000194	2,2-bipyridyl	2,2-bipyridine
C0000204	threo-2,3-hexodiulosonic acid	acid, 2,3-diketogulonic
C0000204	acid, 2,3-diketogulonic	2,3-diketogulonic acid
C0000204	diketogulonic acid 02 03	threo-2,3-hexodiulosonic acid
C0000204	threo-2,3-hexodiulosonic acid	2,3 diketogulonic acid
C0000204	threo-2,3-hexodiulosonic acid	2,3-diketogulonic acid
C0000204	diketogulonic acid 02 03	2,3 diketogulonic acid
C0000204	2,3 diketogulonic acid	2,3-diketogulonic acid
C0000204	diketogulonic acid 02 03	acid, 2,3-diketogulonic
C0000204	diketogulonic acid 02 03	2,3-diketogulonic acid
C0000204	2,3 diketogulonic acid	acid, 2,3-diketogulonic
C0000215	2,4,5-t	2,4,5-trichlorophenoxyacetic acid (substance)
C0000215	2,4,5-trichlorophenoxyacetic acid (substance)	2,4,5 t
C0000215	2,4,5-trichlorophenoxyacetic acid (substance)	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	trichlorophenoxyacetic acid 020405	2,4,5-trichlorophenoxyacetic acid
C0000215	2,4,5-trichlorophenoxyacetic acid (substance)	trichlorophenoxyacetic acid
C0000215	2,4,5-t	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	2,4,5 t	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-trichlorophenoxyacetic acid (substance)	acetic acid, (2,4,5-trichlorophenoxy)-
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	acetic acid, (2,4,5-trichlorophenoxy)-
C0000215	2,4,5-trichlorophenoxyacetic acid -retired-	trichlorophenoxyacetic acid
C0000215	trichlorophenoxyacetic acid	2,4,5-trichlorophenoxyacetic acid
C0000215	2,4,5-trichlorophenoxyacetic acid -retired-	2,4,5-trichlorophenoxyacetic acid
C0000215	2,4,5-trichloroacetophenol	2,4,5-trichlorophenoxyacetic acid (substance)
C0000215	acetic acid, (2,4,5-trichlorophenoxy)-	trichlorophenoxyacetic acid
C0000215	2,4,5-t	acetic acid, (2,4,5-trichlorophenoxy)-
C0000215	trichlorophenoxyacetic acid 020405	2,4,5-trichlorophenoxyacetic acid (substance)
C0000215	t a 02 04 05	2,4,5-trichlorophenoxyacetic acid
C0000215	2,4,5-trichlorophenoxyacetic acid	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-trichlorophenoxyacetic acid (substance)	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-trichloroacetophenol	acetic acid, (2,4,5-trichlorophenoxy)-
C0000215	2,4,5 t	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	trichlorophenoxyacetic acid
C0000215	trichlorophenoxyacetic acid 020405	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	2,4,5-trichloroacetophenol
C0000215	trichlorophenoxyacetic acid 020405	t a 02 04 05
C0000215	2,4,5-t	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-trichloroacetophenol	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-t	trichlorophenoxyacetic acid 020405
C0000215	trichlorophenoxyacetic acid	t a 02 04 05
C0000215	2,4,5 t	trichlorophenoxyacetic acid
C0000215	acetic acid, (2,4,5-trichlorophenoxy)-	2,4,5-trichloroacetophenol (substance)
C0000215	trichlorophenoxyacetic acid 020405	2,4,5 t
C0000215	acetic acid, (2,4,5-trichlorophenoxy)-	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	2,4,5-trichlorophenoxyacetic acid -retired-
C0000215	trichlorophenoxyacetic acid 020405	acetic acid, (2,4,5-trichlorophenoxy)-
C0000215	2,4,5-trichloroacetophenol	2,4,5 t
C0000215	2,4,5-trichloroacetophenol	2,4,5-trichlorophenoxyacetic acid
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	2,4,5-trichlorophenoxyacetic acid (substance)
C0000215	acetic acid, (2,4,5-trichlorophenoxy)-	2,4,5 t
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	trichlorophenoxyacetic acid 020405
C0000215	trichlorophenoxyacetic acid 020405	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-trichloroacetophenol	trichlorophenoxyacetic acid
C0000215	trichlorophenoxyacetic acid 020405	2,4,5-trichloroacetophenol
C0000215	2,4,5-trichlorophenoxyacetic acid -retired-	t a 02 04 05
C0000215	2,4,5-trichloroacetophenol	2,4,5-trichloroacetophenol (substance)
C0000215	t a 02 04 05	2,4,5-trichloroacetophenol (substance)
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	t a 02 04 05
C0000215	2,4,5-t - 2,4,5-trichlorophenoxyacetic acid	2,4,5-trichlorophenoxyacetic acid
C0000215	2,4,5 t	t a 02 04 05
C0000220	2,4-dichlorophenoxyacetic acid	2,4-d - 2,4-dichlorophenoxyacetic acid
C0000220	2,4-dichlorophenoxyacetic acid	2,4 dichlorophenoxyacetic acid
C0000220	d a 002 004	2,4-d
C0000220	d a 002 004	2,4 dichlorophenoxyacetic acid
C0000220	d a 002 004	dichlorophenoxyacetic acid 0204
C0000220	2,4-dichlorophenoxyacetic acid (substance)	2,4 dichlorophenoxyacetic acid
C0000220	2,4 dichlorophenoxyacetic acid	2,4-d
C0000220	2,4-dichlorophenoxyacetic acid	2,4-d
C0000220	acetic acid, (2,4-dichlorophenoxy)-	dichlorophenoxyacetic acid 0204
C0000220	2,4-dichlorophenoxyacetic acid (substance)	2,4-dichlorophenoxyacetic acid
C0000220	2,4 dichlorophenoxyacetic acid	2,4-d - 2,4-dichlorophenoxyacetic acid
C0000220	d a 002 004	2,4-d - 2,4-dichlorophenoxyacetic acid
C0000220	2,4-dichlorophenoxyacetic acid (substance)	dichlorophenoxyacetic acid 0204
C0000220	2,4-dichlorophenoxyacetic acid (substance)	2,4-d
C0000220	d a 002 004	acetic acid, (2,4-dichlorophenoxy)-
C0000220	2,4-dichlorophenoxyacetic acid (substance)	d a 002 004
C0000220	2,4-dichlorophenoxyacetic acid	acetic acid, (2,4-dichlorophenoxy)-
C0000220	2,4-d - 2,4-dichlorophenoxyacetic acid	dichlorophenoxyacetic acid 0204
C0000220	2,4-dichlorophenoxyacetic acid	dichlorophenoxyacetic acid 0204
C0000220	acetic acid, (2,4-dichlorophenoxy)-	2,4-d - 2,4-dichlorophenoxyacetic acid
C0000220	2,4-dichlorophenoxyacetic acid (substance)	2,4-d - 2,4-dichlorophenoxyacetic acid
C0000220	2,4 dichlorophenoxyacetic acid	acetic acid, (2,4-dichlorophenoxy)-
C0000220	2,4-dichlorophenoxyacetic acid	d a 002 004
C0000220	2,4-d	2,4-d - 2,4-dichlorophenoxyacetic acid
C0000220	2,4-d	acetic acid, (2,4-dichlorophenoxy)-
C0000220	2,4-dichlorophenoxyacetic acid (substance)	acetic acid, (2,4-dichlorophenoxy)-
C0000220	2,4 dichlorophenoxyacetic acid	dichlorophenoxyacetic acid 0204
C0000220	2,4-d	dichlorophenoxyacetic acid 0204
C0000232	indophenol, dichlorophenol	2,6-dichlorophenolindophenol
C0000232	dichlorophenolindophenol	dichloroindophenol, 2,6
C0000232	2,6 dichloroindophenol	2,6-dichloroindophenol
C0000232	dichlorophenolindophenol	2,6-dichloroindophenol
C0000232	dichlorophenolindophenol o2 o6	2,6 dichloroindophenol
C0000232	dichlorophenolindophenol	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-
C0000232	dichloroindophenol, 2,6	dye, 2,6-dichlorobenzenoneindophenol
C0000232	dichlorophenolindophenol o2 o6	dichloroindophenol 02 06
C0000232	2,6-dichlorobenzenoneindophenol dye	2,6 dichlorobenzenoneindophenol dye
C0000232	2,6 dichlorobenzenoneindophenol dye	dichlorophenolindophenol o2 o6
C0000232	2,6-dichlorobenzenoneindophenol dye	2,6-dichloroindophenol
C0000232	2,6 dichlorobenzenoneindophenol dye	2,6 dichloroindophenol
C0000232	dichloroindophenol, 2,6	indophenol, dichlorophenol
C0000232	indophenol, dichlorophenol	dichloroindophenol 02 06
C0000232	dichlorophenolindophenol	2,6 dichlorobenzenoneindophenol dye
C0000232	dichlorophenol indophenol	indophenol, dichlorophenol
C0000232	2,6 dichlorobenzenoneindophenol dye	dichloroindophenol 02 06
C0000232	2,6 dichlorophenolindophenol	2,6-dichloroindophenol
C0000232	dichloroindophenol, 2,6	dichlorophenolindophenol o2 o6
C0000232	2,6 dichlorobenzenoneindophenol dye	2,6-dichlorophenolindophenol
C0000232	dichlorophenolindophenol	dichloroindophenol 02 06
C0000232	2,6-dichlorophenolindophenol	2,6-dichloroindophenol
C0000232	2,6 dichlorobenzenoneindophenol dye	indophenol, dichlorophenol
C0000232	dichlorophenol indophenol	dichloroindophenol 02 06
C0000232	indophenol, dichlorophenol	2,6-dichloroindophenol
C0000232	dichlorophenolindophenol o2 o6	2,6-dichloroindophenol
C0000232	2,6-dichlorobenzenoneindophenol dye	dye, 2,6-dichlorobenzenoneindophenol
C0000232	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-	dichloroindophenol 02 06
C0000232	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-	2,6-dichlorophenolindophenol
C0000232	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-	indophenol, dichlorophenol
C0000232	2,6 dichlorophenolindophenol	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-
C0000232	2,6 dichlorobenzenoneindophenol dye	dichloroindophenol, 2,6
C0000232	dichloroindophenol, 2,6	dichlorophenol indophenol
C0000232	2,6 dichlorophenolindophenol	dye, 2,6-dichlorobenzenoneindophenol
C0000232	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-	dichlorophenol indophenol
C0000232	dichlorophenolindophenol	dichlorophenolindophenol o2 o6
C0000232	2,6 dichlorophenolindophenol	indophenol, dichlorophenol
C0000232	2,6 dichlorophenolindophenol	dichlorophenol indophenol
C0000232	dichloroindophenol, 2,6	2,6-dichloroindophenol
C0000232	2,6 dichlorobenzenoneindophenol dye	dye, 2,6-dichlorobenzenoneindophenol
C0000232	dichlorophenolindophenol o2 o6	2,6-dichlorophenolindophenol
C0000232	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-	dye, 2,6-dichlorobenzenoneindophenol
C0000232	dichloroindophenol 02 06	2,6-dichloroindophenol
C0000232	2,6 dichlorophenolindophenol	2,6-dichlorobenzenoneindophenol dye
C0000232	2,6 dichlorobenzenoneindophenol dye	dichlorophenol indophenol
C0000232	2,6 dichloroindophenol	dichloroindophenol 02 06
C0000232	dichlorophenol indophenol	2,6 dichloroindophenol
C0000232	2,6-dichlorobenzenoneindophenol dye	2,5-cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-
C0000232	dichlorophenolindophenol	2,6 dichloroindophenol
C0000232	indophenol, dichlorophenol	dye, 2,6-dichlorobenzenoneindophenol
C0000246	reductoisomerase, acetohydroxy acid	acetohydroxy acid reductoisomerase
C0000246	acetohydroxy ketoacid isomeroreductase 2 3	2 acetolactate mutase
C0000246	mutase, 2-acetolactate	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2-acetolactate mutase (substance)	2-acetolactate mutase
C0000246	2-acetolactate methylmutase	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2 acetohydroxy 3 ketoacid isomeroreductase	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2-acetolactate mutase (substance)	reductoisomerase, acetohydroxy acid
C0000246	2 acetolactate mutase	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	mutase, 2-acetolactate	2-acetolactate mutase
C0000246	mutase, 2-acetolactate	2 acetolactate mutase
C0000246	acetolactate mutase 02	acid reductoisomerase, acetohydroxy
C0000246	acetohydroxy ketoacid isomeroreductase 2 3	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	acetolactate mutase 02	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	2-acetolactate mutase (substance)	2 acetohydroxy 3 ketoacid isomeroreductase
C0000246	acetolactate mutase 02	2 acetolactate mutase
C0000246	acetolactate mutase 02	2-acetolactate mutase
C0000246	acetolactate mutase 02	2 acetohydroxy 3 ketoacid isomeroreductase
C0000246	2-acetolactate methylmutase	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	2 acetohydroxy 3 ketoacid isomeroreductase	acid reductoisomerase, acetohydroxy
C0000246	mutase, 2-acetolactate	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	2-acetolactate mutase	2 acetolactate mutase
C0000246	2-acetolactate mutase (substance)	acid reductoisomerase, acetohydroxy
C0000246	reductoisomerase, acetohydroxy acid	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	acetohydroxy ketoacid isomeroreductase 2 3	acetolactate mutase 02
C0000246	2-acetolactate methylmutase	2 acetolactate mutase
C0000246	2 acetolactate mutase	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2 acetolactate mutase	acid reductoisomerase, acetohydroxy
C0000246	mutase, 2-acetolactate	acetohydroxy acid reductoisomerase
C0000246	2-acetolactate methylmutase	2-acetolactate mutase
C0000246	acetohydroxy ketoacid isomeroreductase 2 3	2-acetolactate mutase
C0000246	acetohydroxy acid reductoisomerase	2 acetohydroxy 3 ketoacid isomeroreductase
C0000246	reductoisomerase, acetohydroxy acid	2 acetohydroxy 3 ketoacid isomeroreductase
C0000246	acetohydroxy acid reductoisomerase	2 acetolactate mutase
C0000246	2-acetolactate mutase	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2-acetolactate mutase (substance)	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2-acetolactate mutase	acetohydroxy acid reductoisomerase
C0000246	mutase, 2-acetolactate	acetolactate mutase 02
C0000246	reductoisomerase, acetohydroxy acid	acid reductoisomerase, acetohydroxy
C0000246	2-acetolactate mutase	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	acetohydroxy ketoacid isomeroreductase 2 3	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	2-acetolactate methylmutase	acetolactate mutase 02
C0000246	acetolactate mutase 02	acetohydroxy acid reductoisomerase
C0000246	2-acetolactate methylmutase	acid reductoisomerase, acetohydroxy
C0000246	mutase, 2-acetolactate	2-acetolactate mutase (substance)
C0000246	2-acetolactate mutase (substance)	isomeroreductase, 2-acetohydroxy-3-ketoacid
C0000246	2-acetolactate methylmutase	2-acetolactate mutase (substance)
C0000246	isomeroreductase, 2-acetohydroxy-3-ketoacid	acid reductoisomerase, acetohydroxy
C0000246	acetolactate mutase 02	reductoisomerase, acetohydroxy acid
C0000246	acetohydroxy acid reductoisomerase	2-acetohydroxy-3-ketoacid isomeroreductase
C0000246	reductoisomerase, acetohydroxy acid	2-acetohydroxy-3-ketoacid isomeroreductase
C0000248	fluoren 2 ylacetamide	acetamidofluorene 02
C0000248	aminofluorene aaf	aaf, aminofluorene
C0000248	2-faa	n-acetyl-2-aminofluorene
C0000248	acetylaminofluorene 02	n acetyl 2 aminofluorene
C0000248	aminofluorene aaf	fluorenylacetamide 02
C0000248	2 acetylaminofluorene	n 2 fluorenylacetamide
C0000248	aminofluorene aaf	2 fluorenylacetamide
C0000248	2-acetamidofluorene	2 acetylaminofluorene
C0000248	aminofluorene aaf	n-2-fluorenylacetamide
C0000248	aminofluorene aaf	n-9h-fluoren-2-ylacetamide
C0000248	2 acetylaminofluorene	n-acetyl-2-aminofluorene
C0000248	2-acetamidofluorene (substance)	n-9h-fluoren-2-ylacetamide
C0000248	aaf, aminofluorene	n-9h-fluoren-2-ylacetamide
C0000248	2 fluorenylacetamide	2 acetamidofluorene
C0000248	fluoren 2 ylacetamide	2-aaf
C0000248	n-2-fluorenylacetamide	n-acetyl-2-aminofluorene
C0000248	fluoren 2 ylacetamide	fluoren-2-ylacetamide
C0000248	2-fluorenylacetamide	fluorenylacetamide 02
C0000248	n-2-fluorenylacetamide	n 2 fluorenylacetamide
C0000248	aminofluorene aaf	n-acetyl-2-aminofluorene
C0000248	aminofluorene aaf	2-acetamidofluorene (substance)
C0000248	acetylaminofluorene 02	2-acetamidofluorene
C0000248	fluorenylacetamide 02	n-acetyl-2-aminofluorene
C0000248	2 fluorenylacetamide	fluoren-2-ylacetamide
C0000248	2 fluorenylacetamide	2-fluorenylacetamide
C0000248	fluorenylacetamide 02	2-aaf
C0000248	acetamide, n-9h-fluoren-2-yl-	2 acetamidofluorene
C0000248	2 fluorenylacetamide	aaf, aminofluorene
C0000248	2 acetamidofluorene	2-faa
C0000248	acetamidofluorene 02	n 2 fluorenylacetamide
C0000248	aminofluorene aaf	acetamidofluorene 02
C0000248	2-acetylaminofluorene	fluorenylacetamide 02
C0000248	2-aaf	n 2 fluorenylacetamide
C0000248	2-fluorenylacetamide	n 2 fluorenylacetamide
C0000248	aminofluorene aaf	2 acetylaminofluorene
C0000248	fluoren 2 ylacetamide	fluorenylacetamide 02
C0000248	aaf, aminofluorene	n-acetyl-2-aminofluorene
C0000248	n acetyl 2 aminofluorene	2-faa
C0000248	acetamide, n-9h-fluoren-2-yl-	n-9h-fluoren-2-ylacetamide
C0000248	fluoren 2 ylacetamide	n 2 fluorenylacetamide
C0000248	2 acetamidofluorene	n-acetyl-2-aminofluorene
C0000248	aminofluorene aaf	2-faa
C0000248	2-acetylaminofluorene	n-acetyl-2-aminofluorene
C0000248	n-2-fluorenylacetamide	2-aaf
C0000248	2-acetamidofluorene (substance)	n-acetyl-2-aminofluorene
C0000248	acetamide, n-9h-fluoren-2-yl-	n acetyl 2 aminofluorene
C0000248	n-2-fluorenylacetamide	acetamidofluorene 02
C0000248	acetylaminofluorene 02	2 acetylaminofluorene
C0000248	2 acetylaminofluorene	2-aaf
C0000248	n acetyl 2 aminofluorene	2-acetamidofluorene (substance)
